m	n	lambda	sq_lambda	C
10	25	93.71717471556883	8782.908836668454	-4.824948499249216e-41
10	26	96.87581859041538	9384.92422756307	2.0142212974704058e-42
11	0	12.121819870946595	146.93851698367573	0.000547852164304216
11	1	16.959664011070267	287.630203368392	-1.7462557449941313e-06
11	2	20.748478179050565	430.49934674653747	2.3041015825441018e-08
11	3	24.29899833246019	590.4413199609031	-4.52765761054284e-10
11	4	27.733515549244505	769.1478847201868	1.0979199485538964e-11
11	5	31.098833000300406	967.1374139805736	-3.035035757267216e-13
11	6	34.41834863211406	1184.6227225617479	9.170317318590803e-15
11	7	37.705520815468994	1421.7062999657655	-2.953357735514883e-16
11	8	40.9688033127638	1678.4428448799258	9.975310400386292e-18
11	9	44.21384094599109	1954.863731197398	-3.4949241955574847e-19
11	10	47.44457755774829	2250.9879396331926	1.2602922911249801e-20
11	11	50.66386712747826	2566.8274323107726	-4.651151545741579e-22
11	12	53.873834037997796	2902.38999395373	1.749273556205535e-23
11	13	57.07609676520623	3257.680821951185	-6.682650041767438e-25
11	14	60.27191268053287	3632.703458169779	2.586609426371578e-26
11	15	63.46227506289159	4027.460356158112	-1.012350344346972e-27
11	16	66.64797999632373	4441.953237590367	3.999883438467945e-29
11	17	69.82967365250519	4876.183322415378	-1.5933465913423472e-30
11	18	73.00788642989951	5330.151480961105	6.392211162642722e-32
11	19	76.18305806746164	5803.858336510233	-2.5803652271834357e-33
11	20	79.35555642615795	6297.304335705137	1.0473095739607986e-34
11	21	82.52569174278025	6810.489797624389	-4.27128213912251e-36
11	22	85.69372759112797	7343.414948462447	1.7494334694721668e-37
11	23	88.85988941210236	7896.079946331061	-7.19271740466451e-39
11	24	92.02437122407241	8468.484899185887	2.9673800467157623e-40
11	25	95.187340954064	9060.629877905229	-1.227974263568844e-41
11	26	98.34894471173037	9672.514925910997	5.095794521375291e-43
12	0	13.168335627905744	173.40506320917177	0.0003006250483434602
12	1	18.110685392127426	327.99692537261774	-8.07859151270993e-07
12	2	21.954060244117763	481.9807612023521	9.735236196059677e-09
12	3	25.543169068033453	652.453486038141	-1.787828650645053e-10
12	4	29.00753033045398	841.4368158722077	4.105708638419594e-12
12	5	32.39702980962652	1049.567540485829	-1.0847085965967757e-13
12	6	35.736720154045585	1277.113167368568	3.1536926650799933e-15
12	7	39.041070738719164	1524.2052044256736	-9.82499010022002e-17
12	8	42.31920615740793	1790.9152097931935	3.2237168594585435e-18
12	9	45.57724222588593	2077.2850089170797	-1.1009726877004727e-19
12	10	48.81946729258469	2383.3403867317465	3.881100439975611e-21
12	11	52.04899526920291	2709.097908533507	-1.403542570550575e-22
12	12	55.26815151000333	3054.568571332683	5.1830211739467325e-24
12	13	58.47871298555444	3419.759872446853	-1.9475377677826914e-25
12	14	61.68206413870833	3804.677036411728	7.425547682180534e-27
12	15	64.87930155914856	4209.323770802936	-2.8665041279518204e-28
12	16	68.07130634079122	4633.7027469418435	1.1183719429305991e-29
12	17	71.25879534528302	5077.815914060929	-4.40352364005589e-31
12	18	74.44235830161986	5541.664709506752	1.7477380350508276e-32
12	19	77.62248515921125	6025.250202291971	-6.985267426520925e-34
12	20	80.79958658873684	6528.573192910783	2.809044564064107e-35
12	21	83.97400957352595	7051.634283854627	-1.1357877921716115e-36
12	22	87.14604942360445	7594.43393014131	4.6146443462177794e-38
12	23	90.31595914334261	8156.972475981932	-1.8830353225561503e-39
12	24	93.48395681448972	8739.250181693378	7.713746659249275e-41
12	25	96.65023147232363	9341.267243653736	-3.170969278054096e-42
12	26	99.81494782464189	9963.023809235983	1.3076544623079016e-43
13	0	14.211621356865823	201.97018159092477	0.0001657724391400459
13	1	19.254244946039233	370.7259484420773	-3.7838405868412716e-07
13	2	23.15070707265426	535.955237963844	4.17634601739998e-09
13	3	26.77771561138887	717.0460533644192	-7.180032086822342e-11
13	4	30.271589096387416	916.3691064205215	1.5631942172646497e-12
13	5	33.68513733737771	1134.688477437998	-3.9494679627335035e-14
13	6	37.04499047571335	1372.3313193456927	1.105268681419814e-15
13	7	40.366585061386154	1629.4611895181238	-3.331249343869927e-17
13	8	43.6596893959224	1906.1684781484187	1.061763152029071e-18
13	9	46.93087263081217	2202.5068058895145	-3.5342090400440927e-20
13	10	50.184755755842566	2518.5097102735735	1.2176459583170302e-21
13	11	53.42470447835252	2854.1990485992997	-4.313777273400091e-23
13	12	56.653239469833885	3209.589542426344	1.5636719071908779e-24
13	13	59.87229223592591	3584.691377584114	-5.777258639927419e-26
13	14	63.08337151004411	3979.511761074245	2.1691066915430013e-27
13	15	66.28767524366499	4394.055889209597	-8.256243671670395e-29
13	16	69.4861681853696	4828.327569085472	3.179699778751529e-30
13	17	72.67963695906812	5282.3296285019405	-1.237100005107433e-31
13	18	75.86873000635575	5756.064192777305	4.8559163605650954e-33
13	19	79.05398709458169	6249.532875550288	-1.920933152681853e-34
13	20	82.23586147598228	6762.736912696946	7.65121236807355e-36
13	21	85.41473677207426	7295.677257842735	-3.0661136801711237e-37
13	22	88.59094000781052	7848.354651467482	1.2353748615557985e-38
13	23	91.76475179257201	8420.769671552349	-5.001668873493073e-40
13	24	94.93641435789083	9012.922771133139	2.0338718763713662e-41
13	25	98.10613796516317	9624.81430643963	-8.303087051246926e-43
14	0	15.252125103194626	232.62732016349966	9.179668888445341e-05
14	1	20.391189297645493	415.8006009724121	-1.7917660757126736e-07
14	2	24.339326762422292	592.402827247966	1.8161709275699437e-09
14	3	28.003538764714282	784.1981833468554	-2.9278618494503703e-11
14	4	31.52656213602888	993.9241201168898	6.049498746560162e-13
14	5	34.963985697971985	1222.4802958879895	-1.4626179420118373e-14
14	6	38.3439458033696	1470.258179771745	3.9413651982825957e-16
14	7	41.682805426425276	1737.4562682172284	-1.1494480491679723e-17
14	8	44.99095112677302	2024.1856832916785	3.55893806234079e-19
14	9	48.275388625846034	2330.5131469764647	-1.1545169777098231e-20
14	10	51.54106012765741	2656.4808790827965	3.887032624976443e-22
14	11	54.791575167965654	3002.1167093868303	-1.3487668722001263e-23
14	12	58.029644093863126	3367.4395936604237	4.79794817015373e-25
14	13	61.257348909520886	3752.4627954227794	-1.742586645512935e-26
14	14	64.47631973260695	4157.19580626136	6.440983778762891e-28
14	15	67.68785377846208	4581.645549134464	-2.4166240704210316e-29
14	16	70.89299793781403	5025.817156610904	9.184553420828903e-31
14	17	74.0926075124901	5489.714487999905	-3.529847169129421e-32
14	18	77.28738888795971	5973.340481118717	1.3698956245385928e-33
14	19	80.47793111485412	6476.697396527205	-5.362147875583736e-35
14	20	83.66472966664305	6999.786990192462	2.114836570980449e-36
14	21	86.84820457289158	7542.610637534825	-8.397190325061221e-38
14	22	90.02871444064021	8105.16942383434	3.354255934220912e-39
14	23	93.20656742407877	8687.464210979342	-1.3470794964925256e-40
14	24	96.3820298983632	9289.495687328978	5.43614908296675e-42
14	25	99.5553333848029	9911.264405359252	-2.203369472551397e-43
15	0	16.290204642821234	265.3707673049945	5.1018905801021597e-05
15	1	21.522222174942364	463.2060473475808	-8.567778533189753e-08
15	2	25.520688555858023	651.3055443651026	7.995437979749515e-10
15	3	29.221411038921513	853.890863105604	-1.2105487125110358e-11
15	4	32.7732029370438	1074.0828307526563	2.37620748968208e-13
15	5	36.23429943040257	1312.9244552120722	-5.501428406800328e-15
15	6	39.63427726297956	1570.8759341587383	1.4281021351424607e-16
15	7	42.99038796894459	1848.1734577203756	-4.030931799818882e-18
15	8	46.31361254534995	2144.9507070007962	1.2125168868687686e-19
15	9	49.611377443264196	2461.2887718180236	-3.833364910571874e-21
15	10	52.888935161783074	2797.239462547294	1.2611082530819305e-22
15	11	56.15013135219082	3152.8372508682824	-4.285436651966739e-24
15	12	59.397860494910404	3528.105831372838	1.495786400183279e-25
15	13	62.63435106149438	3923.0619328945218	-5.339296586089906e-27
15	14	65.86135159717051	4337.717634206115	1.9424286247331679e-28
15	15	69.08025640118898	4772.0818244540105	-7.182174704755796e-30
15	16	72.29219289546103	5226.161153634546	2.6930550785344933e-31
15	17	75.49808387008036	5699.960668053689	-1.0221511246925645e-32
15	18	78.69869277945325	6193.484245194768	3.9210626673260315e-34
15	19	81.89465731930423	6706.73489744627	-1.518298699080234e-35
15	20	85.08651472525837	7239.7149880916095	5.927994517511023e-37
15	21	88.27472111191807	7792.426387386914	-2.331620495725696e-38
15	22	91.45966644907537	8364.870586976123	9.23138812164171e-40
15	23	94.64168629550613	8957.048784856994	-3.676562758871637e-41
15	24	97.82107109013629	9568.961949221497	1.4720709021486198e-42
16	0	17.326150596319643	300.1954944863475	2.8446655359489572e-05
16	1	22.64793545878289	512.9289805451954	-4.132975893245071e-08
16	2	26.6954504474499	712.647074592253	3.559224079061543e-10
16	3	30.432000628758196	926.1066622687392	-5.068650212081933e-12
16	4	34.01216888693051	1156.8276323930838	9.461681415615572e-14
16	5	37.496715307253794	1406.003658833241	-2.0991141747502123e-15
16	6	40.916596199682694	1674.1678445678883	5.251475224512308e-17
16	7	44.28991646660257	1961.5967006186333	-1.4349878632599964e-18
16	8	47.62822926824091	2268.44822322812	4.194135670118397e-20
16	9	50.93936686072626	2594.819096171657	-1.2923072110310267e-21
16	10	54.2288816558657	2940.771605645887	4.1541220225415996e-23
16	11	57.500848009094796	3306.3475217650207	-1.3823224645121144e-24
16	12	60.75833914536081	3691.5757757026836	4.733534908084046e-26
16	13	64.0037260325146	4096.476946045188	-1.6603842810827596e-27
16	14	67.23887268828629	4521.066000391573	5.944239511749245e-29
16	15	70.46526828164957	4965.354034004849	-2.1655981603234914e-30
16	16	73.68411909932846	5429.3494074440205	8.009758328033413e-32
16	17	76.89641416300593	5913.058511128539	-3.0017195437906306e-33
16	18	80.10297304864548	6416.486291232024	1.1379489609155e-34
16	19	83.30448138501127	6939.63661882569	-4.357970625060985e-36
16	20	86.50151763802504	7482.512553681557	1.68404292033775e-37
16	21	89.69457361417157	8045.116535828043	-6.559975300675544e-39
16	22	92.8840703600383	8627.450526648545	2.573743016606763e-40
16	23	96.07037063612704	9229.51611416282	-1.0163097907805186e-41
16	24	99.25378880681252	9851.314592507342	4.036554830140824e-43
17	0	18.360202516764684	337.0970364566122	1.5906247697557303e-05
17	1	23.768832149404894	564.9573817465837	-2.009553735127541e-08
